I U Zakres_I
0.0 0.37 400
0.0 0.57 400
0.0 0.72 400
0.0 0.90 400
0.0 1.11 400
0.1 1.22 400
0.1 1.32 400
0.1 1.42 400
0.1 1.56 400
0.1 1.64 400
0.1 1.71 400
0.1 1.76 400
0.1 1.83 400
0.1 1.95 400
0.1 2.18 400
0.2 2.23 400
0.6 2.35 400
2.6 2.44 400
15.2 2.53 400
32.6 2.57 400
70.8 2.62 400
162.8 2.67 400
319.0 2.71 400
418 2.74 4000
521 2.76 4000
662 2.78 4000
1026 2.81 4000
1447 2.84 4000
2913 2.87 4000
3930 2.95 4000
6.54 2.98 40
8.32 3.07 40
12.25 3.12 40
16.28 3.22 40
17.49 3.23 40
