I U Zakres_I
0.0 0.36 400
0.0 0.81 400
0.0 1.18 400
0.1 1.32 400
0.3 1.45 400
2.7 1.57 400
11.1 1.63 400
39.5 1.69 400
302.1 1.77 400
418 1.80 4000
706 1.81 4000
1264 1.84 4000
1583 1.85 4000
2165 1.87 4000
3284 1.90 4000
6.17 1.94 40
8.69 1.96 40
14.05 1.97 40
20.53 1.98 40
25.04 1.99 40
29.81 2.00 40
