I U Zakres_I
0.0 0.04 400
0.0 0.09 400
0.0 0.20 400
0.0 0.41 400
0.0 0.59 400
0.0 0.77 400
0.0 1.00 400
0.1 1.22 400
0.1 1.30 400
0.3 1.37 400
0.7 1.41 400
1.9 1.48 400
5.0 1.53 400
15.3 1.59 400
34.5 1.63 400
85.3 1.67 400
133.8 1.69 400
291.0 1.73 400
484 1.75 4000
563 1.76 4000
1001 1.78 4000
1540 1.81 4000
2129 1.83 4000
3647 1.86 4000
7.75 1.92 40
10.03 1.94 40
12.56 1.96 40
17.53 1.97 40
20.59 2.01 40
25.44 2.02 40
29.35 2.04 40
