Zakres_U U I
1.1000 0.9182 0.2
11.000 1.984 0.5
11.000 2.957 0.8
11.000 4.060 1.1
11.000 5.026 1.4
11.000 5.965 1.6
11.000 7.071 1.9
11.000 7.947 2.1
11.000 9.004 2.4
11.000 9.985 2.5
110.00 12.05 2.8
110.00 14.07 3.1
110.00 16.03 3.4
110.00 17.93 3.6
110.00 20.20 3.9
110.00 22.21 4.0
110.00 24.17 4.1
110.00 26.04 4.1
110.00 28.58 4.2
110.00 30.56 4.2
110.00 40.79 4.2
110.00 50.40 4.2
110.00 59.18 4.1
110.00 69.92 4.2
110.00 80.15 4.1
110.00 90.25 4.2
110.00 100.54 4.2
110.00 110.67 4.2
